Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel,Order ID,price_per_unit,total_value,revenue_category,year,month,day
Michele Williams,Delta,Charger,47.0,5482.77,257690.19000000003,2025-06-30,Direct,669d01ff-1634-425b-93f3-007383e96ef4,5482.77,257690.19000000003,High,2025,6,30
Dylan Miller,Bauchi,CHARGER,47.0,99706.26,4686194.22,2025-01-04,Retail,fb4fb88a-2f4d-4219-986b-2880ab545a15,99706.26,4686194.22,High,2025,1,4
Brian Ramirez,Katsina,Laptop,28.0,33326.57,933143.96,2024-11-17,,ef9240b6-52d7-4f10-ba3a-6e9623ff23d3,33326.57,933143.96,High,2024,11,17
Holly Wood,lagos,Headphones,43.0,125253.81,5385913.83,2023-11-23,Direct,6231ee73-42c2-42eb-81bf-9e733f800385,125253.81,5385913.83,High,2023,11,23
Derek Zuniga,Imo,Headphones,77.0,92649.51,7134012.27,2025-03-18,Online,4459bd6e-c0f6-4229-b25d-42593c4b1eec,92649.51,7134012.27,High,2025,3,18
Lisa Jackson,Enugu,Camera,36.0,155703.69921212122,5605333.171636364,2024-04-16,,951c25d5-4d4c-4280-9462-52e7f43ba052,155703.69921212122,5605333.171636364,High,2024,4,16
Carla Gray,Imo,Monitor,47.0,269680.75,12674995.25,2024-08-09,Wholesale,42f525b9-02ed-43ce-92a8-1713b90ed44b,269680.75,12674995.25,High,2024,8,9
Margaret Hawkins DDS,Niger,Headphones,33.0,261693.68,8635891.44,2024-01-01,Retail,3c7e5368-b159-4847-9c0b-9b10a757cb10,261693.68,8635891.44,High,2024,1,1
Patty Perez,Delta,Camera,47.0,188963.51,8881284.97,2023-10-13,Online,77242041-1e43-4bd2-aaf4-07f70fe76149,188963.51,8881284.97,High,2023,10,13
Ethan Adams,Ekiti,LAPTOP,4.0,179274.43,717097.72,2023-12-14,Online,afa28559-67c9-4204-a8e3-33b64e8adc4b,179274.43,717097.72,High,2023,12,14
Tommy Walter,Plateau,Monitor,47.0,80026.37,3761239.3899999997,2025-03-17,Wholesale,e346f415-e526-4a2b-ac50-ace480a52e65,80026.37,3761239.3899999997,High,2025,3,17
,Anambra,Monitor,47.0,196849.5,9251926.5,2023-10-26,Retail,b0b6dedf-4f9c-4027-8514-4d98b41c504f,196849.5,9251926.5,High,2023,10,26
Matthew Foster,lagos,Charger,42.0,291631.03,12248503.26,2024-01-10,Direct,f0cd7f05-ea87-455e-a382-95d31e0ef546,291631.03,12248503.260000002,High,2024,1,10
Judy Baker,Kaduna,Keyboard,47.0,173753.06,8166393.82,2025-03-15,Retail,,173753.06,8166393.82,High,2025,3,15
Justin Baker,Niger,Monitor,7.0,68649.2,480544.4,2024-07-28,Direct,3889936a-9d58-47e8-9e17-5b664b87959f,68649.2,480544.39999999997,High,2024,7,28
Stephanie Ross,Sokoto,Phone,47.0,155703.69921212122,7318073.862969697,2023-07-31,Wholesale,7a6a2107-2231-4050-b515-94943818cfd3,155703.69921212122,7318073.862969697,High,2023,7,31
Zachary Hicks,Anambra,Camera,68.0,15880.87,1079899.16,2024-04-16,Wholesale,fd247c11-bf6b-4cdf-b479-7b6127372b52,15880.87,1079899.1600000001,High,2024,4,16
Anthony Rodriguez,Oyo,MONITOR,96.0,144394.41,13861863.36,2024-09-13,Online,b3b26337-6a74-4bb7-9fa5-e0aa9b11b530,144394.41,13861863.36,High,2024,9,13
Rebecca Henderson,Enugu,Monitor,47.0,157507.58,7402856.26,2024-09-27,Online,c1e1b94a-7888-4058-a9ad-0e9b8c9aa1e9,157507.58,7402856.26,High,2024,9,27
James Ferrell,Sokoto,Phone,47.0,216494.26,10175230.22,2024-04-22,Online,d35ac07a-aa02-47d0-8d4f-8b2b899ac252,216494.26,10175230.22,High,2024,4,22
Tricia Valencia,Rivers,Monitor,47.0,232494.54,10927243.38,2024-07-08,Wholesale,ae2ae341-3f59-44f2-8309-3b6e37e9d2e2,232494.54,10927243.38,High,2024,7,8
Nathan Maldonado,kano,Keyboard,47.0,114367.01,5375249.47,2025-03-26,Direct,c9912032-df85-4777-9887-4bfec1369c65,114367.01,5375249.47,High,2025,3,26
Debra Davidson,Benue,Phone,65.0,246587.56,16028191.4,2024-09-11,Wholesale,87365a84-725e-434d-8687-9aa914f573d0,246587.56,16028191.4,High,2024,9,11
Jeffrey Chavez,Rivers,Charger,79.0,73037.87,5769991.73,2023-10-19,Wholesale,ead08c89-13fe-4a29-9c9d-eee0b42a0456,73037.87,5769991.7299999995,High,2023,10,19
,Osun,Tablet,47.0,171984.8,8083285.6,2024-10-28,Online,d42a895e-0fcf-401f-9cb9-b73a906d5c8c,171984.8,8083285.6,High,2024,10,28
Sherri Baker,Osun,MONITOR,47.0,155703.69921212122,7318073.862969697,2025-05-27,Retail,33c08bf1-8167-499f-a723-ada38c32bdb2,155703.69921212122,7318073.862969697,High,2025,5,27
Cassandra Gaines,Katsina,Monitor,47.0,210306.01,9884382.47,2023-09-15,Online,2a1f1b61-265c-49d9-8962-8f6e929c93b3,210306.01,9884382.47,High,2023,9,15
Elizabeth Fowler,Anambra,Camera,4.0,57639.91,230559.64,2023-08-31,Retail,,57639.91,230559.64,High,2023,8,31
Brittany Farmer,Abuja,Keyboard,47.0,132591.05,6231779.35,2024-03-07,Direct,711c7673-8535-4a69-9abf-984e53ff8461,132591.05,6231779.35,High,2024,3,7
Paula Moreno,Ekiti,Camera,47.0,125924.7,5918460.899999999,2024-05-15,Direct,b787ef8d-3495-411e-ae27-d4321dc1e7eb,125924.7,5918460.899999999,High,2024,5,15
Fred Smith,imo,Tablet,47.0,124181.55,5836532.850000001,2025-01-17,,e61d9cde-1747-4387-bd23-d47995492a82,124181.55,5836532.850000001,High,2025,1,17
Sherry Decker,Rivers,Monitor,47.0,61565.56,2893581.32,2025-01-19,,0e3e25f2-cf06-41c7-b20b-274b82a7f586,61565.56,2893581.32,High,2025,1,19
Anthony Humphrey,Benue,Keyboard,10.0,150794.94,1507949.4,2024-07-16,,6a5943ce-8364-45e3-a1c7-1aa3741423b5,150794.94,1507949.4,High,2024,7,16
Angelica Tucker,Kano,PHONE,47.0,183637.68,8630970.959999999,2024-08-22,Direct,8f0d5540-0ec7-4662-905c-7bdd74f0beae,183637.68,8630970.959999999,High,2024,8,22
Philip Cannon,Imo,Monitor,19.0,141745.84,2693170.96,2024-05-25,Online,4ee4334e-ce92-4136-ac3a-812f765e6cb5,141745.84,2693170.96,High,2024,5,25
John Pierce,Borno,Charger,47.0,155703.69921212122,7318073.862969697,2025-02-27,Online,41241bb4-655c-4508-8592-bfa5b928e23f,155703.69921212122,7318073.862969697,High,2025,2,27
Shane Henderson,Katsina,Monitor,47.0,254588.91,11965678.77,2024-05-24,Online,37c86152-beed-4af9-80c5-9f30d1031424,254588.91,11965678.77,High,2024,5,24
,Osun,Headphones,47.0,218356.93,10262775.709999999,2025-04-10,Wholesale,6c776e95-0b98-4ccd-92b2-102d940c3503,218356.93,10262775.709999999,High,2025,4,10
Joshua Blair,Plateau,Keyboard,47.0,211879.68,9958344.959999999,2024-09-29,,8a89b0f0-1052-41d3-b34c-6c7358330b30,211879.68,9958344.959999999,High,2024,9,29
Eric Carney,enugu,Headphones,47.0,155845.62,7324744.14,2023-09-06,Online,e4eb8000-ef40-4162-8f6c-e9bffe7ee362,155845.62,7324744.14,High,2023,9,6
Jessica Holmes,Kano,Phone,47.0,168485.59,7918822.7299999995,2023-10-16,,78d9a88a-ef0b-4a4f-bc73-7d9211ab3d11,168485.59,7918822.7299999995,High,2023,10,16
Danny Morgan,Abuja,MONITOR,47.0,299437.8,14073576.6,2024-03-13,,,299437.8,14073576.6,High,2024,3,13
Crystal Robinson,Delta,Phone,47.0,143772.11,6757289.169999999,2024-11-20,Wholesale,2e13418d-68ab-40ea-897e-c6d1081fc6dc,143772.11,6757289.169999999,High,2024,11,20
Mark Perez,Borno,Laptop,47.0,113359.02,5327873.94,2023-09-06,Direct,a43afb7a-c40d-4874-a2ab-7752c4db5a62,113359.02,5327873.94,High,2023,9,6
Shannon Jones,Kano,Monitor,47.0,287027.3,13490283.1,2024-06-24,Online,f6ba745b-a558-41e3-bab2-b77dfa740cc8,287027.3,13490283.1,High,2024,6,24
Michael Lewis,Delta,Headphones,47.0,155703.69921212122,7318073.862969697,2024-07-06,Wholesale,e42e707a-fe2b-4987-9fdc-abbf6b9cd71c,155703.69921212122,7318073.862969697,High,2024,7,6
Timothy Duncan,Rivers,Keyboard,93.0,138169.23,12849738.39,2024-12-20,Direct,eac80da1-de9f-4f5b-b2d3-545861ea2f30,138169.23,12849738.39,High,2024,12,20
Richard Aguirre,Benue,Headphones,47.0,160171.56,7528063.32,2024-08-15,Direct,148b4376-602a-4e57-a0a3-99d4e821e716,160171.56,7528063.32,High,2024,8,15
Brent Jordan,anambra,Phone,47.0,164108.83,7713115.01,2024-04-03,Online,dfe2c0a0-a96b-4c42-b6d2-2a7baec76a82,164108.83,7713115.01,High,2024,4,3
John Daniel,Ekiti,TABLET,47.0,202922.64,9537364.08,2023-10-18,,dc3bbdd8-a74e-42a9-a20b-9ea98a0f9508,202922.64,9537364.08,High,2023,10,18
,Osun,Monitor,47.0,260362.49,12237037.03,2025-05-22,Retail,fe2b34d8-2db0-428d-9e5e-be5459077299,260362.49,12237037.03,High,2025,5,22
Victoria Garcia,Kaduna,Charger,94.0,204383.39,19212038.66,2025-04-14,,2099d180-8762-4997-a49f-7d888989c5ab,204383.39,19212038.66,High,2025,4,14
Gerald Hensley,Osun,Camera,47.0,241193.93,11336114.709999999,2025-03-08,,d5b6de85-3902-49d9-ba8d-ae42ba54e920,241193.93,11336114.709999999,High,2025,3,8
Connor West,Osun,Keyboard,47.0,79676.47,3744794.09,2024-09-11,Retail,fa7e5d94-05d1-4b63-8194-f97f00e3a026,79676.47,3744794.09,High,2024,9,11
Donald Wright,Enugu,Charger,47.0,145511.94,6839061.18,2024-11-18,Direct,b8168aeb-ac6a-4c85-b687-6c624c61845e,145511.94,6839061.18,High,2024,11,18
Jessica Callahan,Anambra,Charger,47.0,155703.69921212122,7318073.862969697,2024-10-09,Retail,,155703.69921212122,7318073.862969697,High,2024,10,9
Amber Kidd,Kano,Monitor,61.0,287222.55,17520575.55,2023-11-29,Retail,6118433b-882c-4d1e-ac93-a7918b60c511,287222.55,17520575.55,High,2023,11,29
Tracy House,katsina,TABLET,12.0,84062.42,1008749.04,2025-02-26,Wholesale,75eb89c2-3f5c-42f3-bacb-43a3d2c7bffb,84062.42,1008749.04,High,2025,2,26
Carol Tucker,Kaduna,Monitor,47.0,89900.5,4225323.5,2023-10-19,Wholesale,3040413c-4690-4b15-a7b6-08dc589decb0,89900.5,4225323.5,High,2023,10,19
James Brown,Imo,Tablet,47.0,282474.92,13276321.239999998,2024-06-11,Wholesale,c3f725fe-b99b-4b5a-a00d-a49deffa2002,282474.92,13276321.239999998,High,2024,6,11
William Baker,Delta,Laptop,47.0,294686.96,13850287.120000001,2024-08-04,Direct,a902b73f-cf39-4648-883f-64c31ce362f8,294686.96,13850287.120000001,High,2024,8,4
Jordan Henderson,Kaduna,Keyboard,47.0,231466.69,10878934.43,2025-06-17,Retail,efad49e9-c41c-447e-9d6b-9b626b535a19,231466.69,10878934.43,High,2025,6,17
Whitney Peters,Ekiti,Phone,47.0,211617.83,9946038.01,2025-05-15,Online,3d9c4e64-0401-4ced-a398-36bbe23ddfaa,211617.83,9946038.01,High,2025,5,15
,Benue,Phone,47.0,207226.85,9739661.950000001,2023-08-23,Retail,980cb95c-19d4-4deb-9139-fa1234c1c3ea,207226.85,9739661.950000001,High,2023,8,23
Brittney Phillips,Anambra,Charger,47.0,146956.42,6906951.74,2025-04-16,Direct,ac09bdb7-9908-4e47-b249-f62c08987462,146956.42,6906951.74,High,2025,4,16
Lauren Daniels,Imo,CAMERA,47.0,155703.69921212122,7318073.862969697,2023-10-15,Wholesale,3ea6e5b2-0c76-4d28-9f49-5037b40a9181,155703.69921212122,7318073.862969697,High,2023,10,15
Amy Silva,delta,Laptop,47.0,144201.13,6777453.11,2024-08-16,Direct,705fddf5-66fa-4ca0-8b53-1932bd9419aa,144201.13,6777453.11,High,2024,8,16
Sarah Moore,Sokoto,Phone,47.0,168366.03,7913203.41,2023-11-06,Wholesale,c11f6bf5-379e-4467-8a2d-b2e63bfda8a6,168366.03,7913203.41,High,2023,11,6
Angela Lopez,Abuja,Phone,93.0,280378.37,26075188.41,2024-03-03,Direct,23dfecd7-0e73-4dd7-86ac-1b04dd1d6cd1,280378.37,26075188.41,High,2024,3,3
Megan Young,Delta,Camera,47.0,216638.48,10182008.56,2023-11-15,Online,,216638.48,10182008.56,High,2023,11,15
Steve Sanchez,Abuja,Camera,47.0,86692.92,4074567.2399999998,2023-11-13,Wholesale,3bf2025f-4a0d-4b73-be54-ee4b80ff5173,86692.92,4074567.2399999998,High,2023,11,13
Lisa Barnes,Sokoto,Phone,47.0,172256.3,8096046.1,2024-03-17,Wholesale,937bf79b-bb44-4adc-aa98-fef8d0d75e37,172256.3,8096046.1,High,2024,3,17
Kelly Donovan,Benue,Headphones,65.0,163185.67,10607068.55,2025-07-06,Retail,c5c51060-9911-41e7-93d5-63ae51a3ac26,163185.67,10607068.55,High,2025,7,6
Mike Allen,Anambra,CAMERA,47.0,268780.26,12632672.22,2025-01-11,Direct,3ca5be29-5217-4bf3-9181-83d1ac2b0cfc,268780.26,12632672.22,High,2025,1,11
Michael Evans,Kano,Headphones,62.0,118662.47,7357073.14,2024-01-02,,fc568b53-24ac-4722-a052-77394d406f1b,118662.47,7357073.14,High,2024,1,2
Paul Jones,enugu,Keyboard,47.0,155703.69921212122,7318073.862969697,2024-04-04,,69df14e9-3896-41dd-8570-b59fa903ae67,155703.69921212122,7318073.862969697,High,2024,4,4
,Plateau,Laptop,47.0,103867.84,4881788.4799999995,2025-07-10,Retail,8e85140d-0f9a-4b70-8670-7cd64ceda164,103867.84,4881788.4799999995,High,2025,7,10
Zachary Ferrell,Sokoto,Camera,47.0,232032.77,10905540.19,2024-08-17,Direct,bc36dc59-e134-4dfc-9777-7f10f2d2393f,232032.77,10905540.19,High,2024,8,17
Daniel Baker,Enugu,Keyboard,74.0,44369.6,3283350.4,2025-06-05,Online,adc29178-a041-4612-acd5-8759e95d2761,44369.6,3283350.4,High,2025,6,5
Shirley Suarez,Cross River,Tablet,47.0,13098.91,615648.77,2024-02-16,Retail,0c00988a-7ee1-411a-8e4c-3ab56d5d0477,13098.91,615648.77,High,2024,2,16
Christopher Bass,Benue,Charger,47.0,286616.46,13470973.620000001,2025-04-28,Wholesale,a4b05c89-f10b-4e9c-982b-91eef8e8035b,286616.46,13470973.620000001,High,2025,4,28
Lisa Archer,Ekiti,HEADPHONES,47.0,24169.32,1135958.04,2023-09-10,Online,86433603-c92a-4d7c-a193-5990abdd1a8f,24169.32,1135958.04,High,2023,9,10
Aimee Montoya,Oyo,Laptop,47.0,277240.88,13030321.36,2024-01-21,Direct,6883ac6e-6a94-4054-b241-4482519894d8,277240.88,13030321.36,High,2024,1,21
Matthew Mcmillan,Anambra,Headphones,47.0,196963.63,9257290.61,2023-12-10,Wholesale,,196963.63,9257290.61,High,2023,12,10
Brian Rodriguez,oyo,Tablet,47.0,224327.88,10543410.36,2024-11-15,,2f12b150-605f-41eb-8cc5-7e0d26332018,224327.88,10543410.36,High,2024,11,15
Denise Jacobs,Delta,Laptop,35.0,155703.69921212122,5449629.472424243,2024-09-10,Direct,3db0174e-7938-478a-89b5-aab0c12169db,155703.69921212122,5449629.472424243,High,2024,9,10
Christina Walters,Imo,Phone,47.0,64589.05,3035685.35,2024-02-09,Wholesale,db87d29c-4cfd-4fc1-b9b0-2e2ad96e684f,64589.05,3035685.35,High,2024,2,9
John Whitehead,Imo,Tablet,47.0,248471.54,11678162.38,2023-10-16,Direct,7688d11f-ce47-48be-a4f4-3c62b523c0de,248471.54,11678162.38,High,2023,10,16
Anna Henderson,Anambra,Monitor,47.0,81704.25,3840099.75,2024-11-07,Wholesale,69a53b4f-8ff8-469d-8ec0-713dea2c7a51,81704.25,3840099.75,High,2024,11,7
,Plateau,MONITOR,1.0,168824.4,168824.4,2024-03-02,Direct,87ad8b26-8eaa-4841-aaa0-426df7c0d5f7,168824.4,168824.4,Medium,2024,3,2
Aaron Wise,Niger,Camera,47.0,81850.63,3846979.6100000003,2024-10-30,,41476506-3e2b-49c9-a36f-6e5c2253e706,81850.63,3846979.6100000003,High,2024,10,30
Deborah Figueroa,Plateau,Laptop,47.0,33213.36,1561027.92,2024-08-28,Retail,143df5b3-a58e-43dd-948c-1d84340de049,33213.36,1561027.92,High,2024,8,28
Jessica Smith,Benue,Camera,9.0,222396.85,2001571.65,2023-09-21,Wholesale,5efeef4f-d8dd-4bc0-b325-3aa3ec170298,222396.85,2001571.6500000001,High,2023,9,21
Stephen Mckee,osun,Laptop,47.0,72164.98,3391754.0599999996,2024-08-04,Wholesale,d453f867-b97e-4224-891f-691217abb863,72164.98,3391754.0599999996,High,2024,8,4
Sandra Aguilar,Delta,Tablet,4.0,15704.25,62817.0,2024-11-19,,608e149e-44b9-4602-8d31-812e30c36756,15704.25,62817.0,Medium,2024,11,19
Cameron Parker,Oyo,Laptop,47.0,155703.69921212122,7318073.862969697,2023-11-18,Retail,0a1fc9df-9a59-4974-9adf-4709ac75c344,155703.69921212122,7318073.862969697,High,2023,11,18
Rebecca Valencia,Bauchi,Phone,47.0,271602.67,12765325.489999998,2024-10-12,Direct,cdfd9531-302b-4831-92a1-fe7ddfa59722,271602.67,12765325.489999998,High,2024,10,12
Christine Wright,Cross River,CHARGER,47.0,68088.66,3200167.02,2024-10-04,Wholesale,,68088.66,3200167.02,High,2024,10,4
Richard Henson,Kano,Monitor,44.0,70234.55,3090320.2,2023-11-07,Retail,abe42e7d-b96c-4163-966b-e275c2fe8954,70234.55,3090320.2,High,2023,11,7
Marc Moore,Abuja,Charger,47.0,30509.29,1433936.6300000001,2023-11-20,Direct,3579c143-7ab9-4428-b78e-65108f10d33e,30509.29,1433936.6300000001,High,2023,11,20
Sharon Cherry,Rivers,Laptop,47.0,99422.94,4672878.18,2024-12-03,Wholesale,4d9dbaeb-553d-4625-a833-4da5de95d695,99422.94,4672878.18,High,2024,12,3
Sierra Johnson,Oyo,Charger,47.0,141984.97,6673293.59,2024-11-07,Wholesale,363908bf-03ec-48ff-a8b3-d763f4ff3f3a,141984.97,6673293.59,High,2024,11,7
,kaduna,Phone,77.0,204517.0,15747809.0,2025-01-20,Direct,bdd151b0-f64a-46ec-b0a5-648eefe9b3d0,204517.0,15747809.0,High,2025,1,20
Evelyn Galvan,Niger,Monitor,7.0,41671.38,291699.66,2025-06-10,,c11bd1c4-ffe3-4366-bf33-7a151e086f20,41671.38,291699.66,High,2025,6,10
Sharon Cochran,Katsina,Keyboard,47.0,289373.37,13600548.39,2024-10-23,Retail,b2149062-3e1a-463e-aa18-d32c7a9a8ef5,289373.37,13600548.39,High,2024,10,23
Richard Rodriguez,Kano,LAPTOP,47.0,155703.69921212122,7318073.862969697,2024-03-29,Wholesale,6589ada1-345a-4934-b42a-2d939aba0f15,155703.69921212122,7318073.862969697,High,2024,3,29
Shannon Walker,Benue,Monitor,47.0,293384.26,13789060.22,2025-04-25,Direct,52555c75-8d55-419e-bd44-cb2cea45ba41,293384.26,13789060.22,High,2025,4,25
Julia Torres,Benue,Charger,47.0,47803.35,2246757.4499999997,2025-06-27,Wholesale,775c30b5-6173-4c48-8876-9153c68813fe,47803.35,2246757.4499999997,High,2025,6,27
Crystal Johnson,Katsina,Keyboard,47.0,196041.39,9213945.33,2024-09-20,Direct,4ef4c34d-5bf8-4f3c-a612-9a1c889d4b76,196041.39,9213945.33,High,2024,9,20
Garrett Lin,Ekiti,Headphones,47.0,264253.91,12419933.77,2023-08-11,Wholesale,e1fff6c0-8347-41da-9c11-ab6d42f5b3f5,264253.91,12419933.77,High,2023,8,11
Diana May,Bauchi,Monitor,47.0,142972.04,6719685.880000001,2025-04-11,Online,cd8563ca-193e-438d-b74c-0afa7f4d908c,142972.04,6719685.880000001,High,2025,4,11
William Herrera,anambra,Headphones,47.0,195336.34,9180807.98,2025-05-11,,,195336.34,9180807.98,High,2025,5,11
Ashley Waller,Imo,Tablet,47.0,226895.36,10664081.92,2023-08-02,Retail,c2fa1da8-7830-4631-b8f0-188efb37afae,226895.36,10664081.92,High,2023,8,2
Victor Baker,Lagos,KEYBOARD,56.0,86529.89,4845673.84,2023-09-12,,340029c3-ea11-405b-91fa-cefad6f89f7a,86529.89,4845673.84,High,2023,9,12
Jeffrey Chandler,Rivers,Keyboard,47.0,85981.89,4041148.83,2023-08-15,,0bb401e7-69f7-43f1-901b-a8515ee68495,85981.89,4041148.83,High,2023,8,15
,Imo,Monitor,47.0,155703.69921212122,7318073.862969697,2024-11-20,Retail,bdc2b74b-38a5-4b49-9d34-aa1890019ed4,155703.69921212122,7318073.862969697,High,2024,11,20
Larry Dixon,Anambra,Tablet,47.0,18219.19,856301.9299999999,2025-02-28,,8da5d39b-42c2-4797-8426-fcc9255b30e2,18219.19,856301.9299999999,High,2025,2,28
Kenneth Scott,Sokoto,Charger,47.0,230733.14,10844457.58,2024-09-30,Online,b852b3cd-9442-45e6-9583-1d58ef4c5119,230733.14,10844457.58,High,2024,9,30
April Frost,Rivers,Camera,6.0,195863.47,1175180.82,2024-02-01,Direct,32399ffb-2704-4f25-8b91-b8cb6ae66582,195863.47,1175180.82,High,2024,2,1
Michelle Harmon,Borno,Laptop,47.0,70049.95,3292347.65,2024-11-27,Retail,91ddb9bf-613d-4de9-bae2-802354720d2d,70049.95,3292347.65,High,2024,11,27
Helen Jones,niger,Tablet,8.0,221736.61,1773892.88,2023-12-21,Direct,8cf6e8b8-7fd2-48c3-bee8-2983d5574241,221736.61,1773892.88,High,2023,12,21
Erin Edwards,Kaduna,KEYBOARD,47.0,255174.76,11993213.72,2025-02-25,Wholesale,566a9ce7-af52-4b94-b186-e47aa7946320,255174.76,11993213.72,High,2025,2,25
Michelle Evans,Ekiti,Camera,28.0,11670.82,326782.96,2024-09-27,Online,7d1645a0-d253-4966-836b-9a0a41e02a89,11670.82,326782.95999999996,High,2024,9,27
Jason Powell,Lagos,Keyboard,47.0,276480.53,12994584.910000002,2024-05-29,Direct,bd5609c4-a446-4663-b93b-17fbf76d15fd,276480.53,12994584.910000002,High,2024,5,29
Cameron Fisher,Anambra,Monitor,47.0,125656.55,5905857.850000001,2024-11-02,Direct,bb96f602-2b11-4c36-b5f8-e3a87d97ac0f,125656.55,5905857.850000001,High,2024,11,2
Megan Orr,Bauchi,Charger,16.0,155703.69921212122,2491259.1873939396,2024-11-18,Retail,,155703.69921212122,2491259.1873939396,High,2024,11,18
Elizabeth Kelley,Kaduna,Phone,47.0,251362.66,11814045.02,2023-08-03,Wholesale,23d4526b-2b54-4f7a-9a28-37b2cb8383f2,251362.66,11814045.02,High,2023,8,3
Dustin Jordan,Bauchi,Keyboard,56.0,280209.82,15691749.92,2024-07-31,Retail,2f1dc121-7d02-4c6d-8bea-75c1b86677aa,280209.82,15691749.92,High,2024,7,31
,Rivers,Charger,47.0,11383.78,535037.66,2025-05-31,Wholesale,fd85d7fa-8ac9-4b01-a3ad-64d4eab9eb02,11383.78,535037.66,High,2025,5,31
Mary Marshall,borno,HEADPHONES,47.0,250942.86,11794314.42,2024-11-09,Retail,862138ad-0f09-405c-b50d-7a37a44d9fec,250942.86,11794314.42,High,2024,11,9
Daniel Kennedy,Bauchi,Keyboard,47.0,236494.21,11115227.87,2024-09-06,Direct,13075157-d8c1-48e7-96cd-315508a8ac7f,236494.21,11115227.87,High,2024,9,6
Rebecca Jackson,Katsina,Camera,47.0,56300.33,2646115.5100000002,2024-02-20,Direct,0c6b7074-ab10-4c9b-9168-2e09f1f7d904,56300.33,2646115.5100000002,High,2024,2,20
Jose Schultz,Enugu,Charger,46.0,224826.46,10342017.16,2024-11-20,Online,2332a50e-6992-496e-81a2-5ed1c3abb5f1,224826.46,10342017.16,High,2024,11,20
Robert Potter,Oyo,Tablet,47.0,261751.06,12302299.82,2024-03-01,Direct,116658ce-3b3f-4800-a175-a9c3d7b102a9,261751.06,12302299.82,High,2024,3,1
Courtney Gonzalez,Osun,Charger,47.0,87195.36,4098181.92,2024-07-20,,37fe032c-0257-4851-a6a9-e100b509109b,87195.36,4098181.92,High,2024,7,20
David Alvarez,Kaduna,Tablet,47.0,155703.69921212122,7318073.862969697,2024-01-17,Direct,0f79a8a7-5f8a-44bd-b4bd-0c938177b661,155703.69921212122,7318073.862969697,High,2024,1,17
Angel Perry,Imo,Tablet,47.0,11721.12,550892.64,2025-03-27,,ef145064-aab0-4015-a342-2e509e2a7324,11721.12,550892.64,High,2025,3,27
Cheyenne Horton,Bauchi,PHONE,47.0,89868.47,4223818.09,2025-03-29,Direct,a8c6dbc0-7bb3-447b-a9aa-144b9dd43675,89868.47,4223818.09,High,2025,3,29
